Answer,ID,question#,number,question
Probability,var1,Q1,1) 22%,"The Australian Melanoma Study looked at 601 cases of people with melanoma skin cancer and 479 control subjects who did not have skin cancer and questioned them about their prior use of tanning beds. Amongst the people with melanoma, about 22% had used a tanning bed and about 3.5 times as many had never used a tanning bed. But amongst the control subjects 17.5% of the subjects had used a tanning bed and about 4.7 times as many had never used one. The researchers noted that 4.7/3.5 = 1.34(around) and used that number to describe the relationship between melanoma skin cancer and tanning bed use."
Odds,var2,Q1,2) 3.5 to 1,"The Australian Melanoma Study looked at 601 cases of people with melanoma skin cancer and 479 control subjects who did not have skin cancer and questioned them about their prior use of tanning beds. Amongst the people with melanoma, about 22% had used a tanning bed and about 3.5 times as many had never used a tanning bed. But amongst the control subjects 17.5% of the subjects had used a tanning bed and about 4.7 times as many had never used one. The researchers noted that 4.7/3.5 = 1.34 and used that number to describe the relationship between melanoma skin cancer and tanning bed use."
Odds,var3,Q1,3) 4.7 to 1,"The Australian Melanoma Study looked at 601 cases of people with melanoma skin cancer and 479 control subjects who did not have skin cancer and questioned them about their prior use of tanning beds. Amongst the people with melanoma, about 22% had used a tanning bed and about 3.5 times as many had never used a tanning bed. But amongst the control subjects 17.5% of the subjects had used a tanning bed and about 4.7 times as many had never used one. The researchers noted that 4.7/3.5 = 1.34 and used that number to describe the relationship between melanoma skin cancer and tanning bed use."
Odds Ratio,var4,Q1,4) 1.34,"The Australian Melanoma Study looked at 601 cases of people with melanoma skin cancer and 479 control subjects who did not have skin cancer and questioned them about their prior use of tanning beds. Amongst the people with melanoma, about 22% had used a tanning bed and about 3.5 times as many had never used a tanning bed. But amongst the control subjects 17.5% of the subjects had used a tanning bed and about 4.7 times as many had never used one. The researchers noted that 4.7/3.5 = 1.34 and used that number to describe the relationship between melanoma skin cancer and tanning bed use."
Risk,var5,Q2,1) 1 out of 4.5 million,"A hull loss is an aviation accident that damages the aircraft beyond economical repair. According to the International Air Transport Association, there is about one jet hull loss per 4.5 million flights for departures from North American airports. The record is even better from European airports where there is just one jet hull loss per 7.1 million flights. That makes the rate of jet hull loss about 1.6 times higher in North America compared to Europe."
Risk,var6,Q2,2) 1 out of 7.1 million,"A hull loss is an aviation accident that damages the aircraft beyond economical repair.  According to the International Air Transport Association, there is about one jet hull loss per 4.5 million flights for departures from North American airports. The record is even better from European airports where there is just one jet hull loss per 7.1 million flights. That makes the rate of jet hull loss about 1.6 times higher in North America compared to Europe."
Relative Risk,var7,Q2,3) 1.6,"A hull loss is an aviation accident that damages the aircraft beyond economical repair.  According to the International Air Transport Association, there is about one jet hull loss per 4.5 million flights for departures from North American airports. The record is even better from European airports where there is just one jet hull loss per 7.1 million flights. That makes the rate of jet hull loss about 1.6 times higher in North America compared to Europe."
Relative Risk,var8,Q2,4) 4.5/7.1 (about 0.6),"A hull loss is an aviation accident that damages the aircraft beyond economical repair.  According to the International Air Transport Association, there is about one jet hull loss per 4.5 million flights for departures from North American airports. The record is even better from European airports where there is just one jet hull loss per 7.1 million flights. That makes the rate of jet hull loss about 1.6 times higher in North America compared to Europe."
Risk,var9,Q3,1) 10%,"It is estimated that about 10% of American adults will eventually show some signs of Alzheimer's disease (i.e. 1 person will show symptoms for every 9 that do not). But, adults with a certain variety of the Herpes virus are twice as likely to eventually show signs of the disease (i.e. 2 people will show symptoms for every 8 that do not belong that group)."
Odds,var10,Q3,2) 9 to 1,"It is estimated that about 10% of American adults will eventually show some signs of Alzheimer's disease (i.e. 1 person will show symptoms for every 9 that do not). But, adults with a certain variety of the Herpes virus are twice as likely to eventually show signs of the disease (i.e. 2 people will show symptoms for every 8 that do not belong that group)."
Relative Risk,var11,Q3,3) 2,"It is estimated that about 10% of American adults will eventually show some signs of Alzheimer's disease (i.e. 1 person will show symptoms for every 9 that do not). But, adults with a certain variety of the Herpes virus are twice as likely to eventually show signs of the disease (i.e. 2 people will show symptoms for every 8 that do not belong that group)."
Odds,var12,Q3,4) 4 to 1,"It is estimated that about 10% of American adults will eventually show some signs of Alzheimer's disease (i.e. 1 person will show symptoms for every 9 that do not). But, adults with a certain variety of the Herpes virus are twice as likely to eventually show signs of the disease (i.e. 2 people will show symptoms for every 8 that do not belong that group)."
Risk,var13,Q4,1) 1/22000,"It is estimated that Chicken pox will affect 1 person out of 22000 in the United States this year. Of course, Chicken Pox is a preventable disease if the population is vaccinated against it, so an educational program to encourage families with small children to have them vaccinated was implemented. It turned out that 95% (19 out of every 20) of the people that took part in the education program had their children vaccinated compared to 89% (8 out of every 9) for those that did not participate."
Odds,var14,Q4,2) 19 to 1,"It is estimated that Chicken pox will affect 1 person out of 22000 in the United States this year. Of course, Chicken Pox is a preventable disease if the population is vaccinated against it, so an educational program to encourage families with small children to have them vaccinated was implemented. It turned out that 95% (19 out of every 20) of the people that took part in the education program had their children vaccinated compared to 89% (8 out of every 9) for those that did not participate."
Odds,var15,Q4,3) 8 to 1,"It is estimated that Chicken pox will affect 1 person out of 22000 in the United States this year. Of course, Chicken Pox is a preventable disease if the population is vaccinated against it, so an educational program to encourage families with small children to have them vaccinated was implemented. It turned out that 95% (19 out of every 20) of the people that took part in the education program had their children vaccinated compared to 89% (8 out of every 9) for those that did not participate."
Probability,var16,Q4,4) 5%,"It is estimated that Chicken pox will affect 1 person out of 22000 in the United States this year. Of course, Chicken Pox is a preventable disease if the population is vaccinated against it, so an educational program to encourage families with small children to have them vaccinated was implemented. It turned out that 95% (19 out of every 20) of the people that took part in the education program had their children vaccinated compared to 89% (8 out of every 9) for those that did not participate."
Risk,var17,Q5,1) 11.6%,"UNESCO evaluates the percentage of people in member countries above the age of 15 who cannot read and write. For example, they find that the illiteracy rate in El Salvador is 11.6%. Also, the illiteracy rates in El Salvador differ a bit for males and females with a rate for males of 9.3% compared to a rate for females in that country of 13.6%."
Odds,var18,Q5,2) 0.136/0.864,"UNESCO evaluates the percentage of people in member countries above the age of 15 who cannot read and write. For example, they find that the illiteracy rate in El Salvador is 11.6%. Also, the illiteracy rates in El Salvador differ a bit for males and females with a rate for males of 9.3% compared to a rate for females in that country of 13.6%."
Relative Risk,var19,Q5,3) 0.136/0.093,"UNESCO evaluates the percentage of people in member countries above the age of 15 who cannot read and write. For example, they find that the illiteracy rate in El Salvador is 11.6%. Also, the illiteracy rates in El Salvador differ a bit for males and females with a rate for males of 9.3% compared to a rate for females in that country of 13.6%."
Odds Ratio,var20,Q5,4) 0.136(0.907)/0.093(0.864),"UNESCO evaluates the percentage of people in member countries above the age of 15 who cannot read and write. For example, they find that the illiteracy rate in El Salvador is 11.6%. Also, the illiteracy rates in El Salvador differ a bit for males and females with a rate for males of 9.3% compared to a rate for females in that country of 13.6%."
